App,Ver,Date,Notes
Android Auto,9.0.1307 beta,"February 17, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.9.6306,"February 11, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.9.1306 beta,"February 8, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.9.1305 beta,"February 7, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.8.6304,"January 28, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.8.1304 beta,"January 25, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.8.1303 beta,"January 24, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.7.6302,"January 20, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.7.6252,"January 12, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.7.1302 beta,"January 11, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.7.1301 beta,"January 7, 2023","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.6.1250 beta,"December 15, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.6.1249 beta,"December 8, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.6.1248 beta,"December 2, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.6.1246 beta,"November 23, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.5.6245,"November 16, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.5.1245 beta,"November 10, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.5.1244 beta,"November 4, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.4.6243,"October 29, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.4.1243 beta,"October 27, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.4.1242 beta,"October 21, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.3.6241,"October 15, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.3.1241 beta,"October 12, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.2.6239,"October 1, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.2.1238 beta,"September 28, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.223548-dogfood.daily beta,"September 10, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.223547-dogfood.daily beta,"September 10, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.223544-dogfood.daily beta,"September 7, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.223543-dogfood.daily beta,"September 7, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.6261,"September 6, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.1.1234 beta,"August 28, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.0.6233,"August 23, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,8.0.1232 beta,"August 13, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.9.6231,"August 5, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.9.6229,"July 23, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.9.1228 beta,"July 15, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.9.1226 beta,"July 2, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.8.6225,"June 28, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.8.1223 beta,"June 9, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.8.1222 beta,"June 3, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.7.6221,"May 28, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.7.1220 beta,"May 19, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.7.1219 beta,"May 11, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.6.6217,"April 30, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.6.1215 beta,"April 14, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.5.6213,"April 9, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.5.1213 beta,"March 31, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.5.1212 beta,"March 25, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.5.1211 beta,"March 17, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
Android Auto,7.4.6209,"March 5, 2022","• Improved Do Not Disturb functionality.
• Dark mode on car UI is now independent from the phone.
•Bug fixes and other Improvements.
• We want to hear from you! Join the conversation in our community g.co/androidautocommunity"
