,Variable,Wald statistic,p-value
0,Unnamed: 0,6.166760795427992e-25,0.9999999999993734
1,app_category,5.999942843664322e-24,0.9999999999980456
2,size_of_user_base,1.2599114943017489,0.2616678441726604
3,avg_rel_rating,3.4303736087381354e-24,0.9999999999985222
4,rel_count,2.1130992581353352e-24,0.9999999999988402
5,rel_freq,7.042547353442134e-23,0.9999999999933041
6,same_day_rel,1.3963240510376207e-25,0.9999999999997019
7,improve_keywords,3.318461626546966e-25,0.9999999999995404
8,bug_keywords,2.9603276170226687e-25,0.9999999999995659
9,emergency_keywords,1.1133173148876277e-25,0.9999999999997338
