,Variable,Wald statistic,p-value
0,Unnamed: 0,329.6058234905777,1.1712232379407683e-73
1,app_category,13.372713948413944,0.00025531163667418606
2,size_of_user_base,1382896.9973608856,0.0
3,avg_rel_rating,46.294682695937226,1.0173968907571295e-11
4,rel_count,243.8123979878453,5.800417795537433e-55
5,rel_freq,175.14502784657924,5.5659128212662796e-40
6,same_day_rel,19842.061038322394,0.0
7,improve_keywords,24.191994654160712,8.719396098797647e-07
8,bug_keywords,3.7420738156540807,0.0530585538439814
9,emergency_keywords,1057.412547471172,5.9592396783804466e-232
