,App,Ver,Date,Notes,Time of Rel,Rel type,Length,Processed Notes,Updatability,Updatability for Major Rel
0,Simply Auto: Car Maintenance &,50.1.1.1,"Mar 24, 2022",Bug fix for overlapping text,14.0,Major,5.0,bug fix for overlap text,0.840260623136724,0.840260623136724
1,Simply Auto: Car Maintenance &,49.1.1.1,"Mar 10, 2022",-Updated save icon-Increased font size on the log table~Other bug fixes,21.0,Major,11.0,update save iconincrease font size on the log tableother bug fix,1.0,1.0
2,Simply Auto: Car Maintenance &,48.1.1.1,"Feb 17, 2022",Bugfix for Total Cost calculation,10.0,Major,5.0,Bugfix for total cost calculation,1.0,1.0
3,Simply Auto: Car Maintenance &,47.1.1.3,"Feb 7, 2022","-Easy access to delete Vehicles, Fill-ups, services, Expenses etc added~bug fixes",16.0,Major,11.0,easy access to delete Vehicles Fillups service expense etc addedbug fix,0.7328820725743117,0.7328820725743117
4,Simply Auto: Car Maintenance &,46.1.2.1,"Jan 22, 2022",- Fixed crashes- Fixed service type delete bug,10.0,Major,7.0,fix crash fix service type delete bug,0.6887425324729463,0.6887425324729463
5,Simply Auto: Car Maintenance &,45.1.1.1,"Jan 12, 2022",- Fixed Crashes,18.0,Major,3.0,fix Crashes,1.0,1.0
6,Simply Auto: Car Maintenance &,44.0.6.1,"Dec 25, 2021",-Vehicle Documents for Platinum members~Fixed Bugs and crashes,1.0,Major,8.0,vehicle document for platinum membersfix bug and crash,1.0,1.0
7,Simply Auto: Car Maintenance &,43.1.1.1,"Dec 24, 2021",~Fixed Crashes,73.0,Major,2.0,fix Crashes,0.8585694320744551,0.8585694320744551
8,Simply Auto: Car Maintenance &,42.1.5.1,"Oct 12, 2021",-Performance Improvements In sync-Google Drive Backup bug-Other bug fixes,38.0,Major,9.0,performance improvement in syncGoogle Drive backup bugother bug fix,1.0,1.0
9,Simply Auto: Car Maintenance &,41.1.1.1,"Sep 4, 2021",-PDF support for receipts for PRO users,10.0,Major,6.0,pdf support for receipt for PRO user,1.0,1.0
10,Simply Auto: Car Maintenance &,40.1.1.1,"Aug 25, 2021","- Can use ',' in Notes now~bug fix on the 'Service Date' on reminder screen~other small fixes",28.0,Major,16.0,can use in Notes nowbug fix on the service date on reminder screenother small fix,0.860596741945826,0.860596741945826
