,app_category,size_of_user_base,avg_rel_rating,rel_count,rel_freq,same_day_rel,improve_keywords,bug_keywords,emergency_keywords
0,automotive,"1,000,000,000+",4.1779814,100.0,9.5,2.0,92.0,96.0,0.0
1,automotive,"5,000,000+",4.6235895,24.0,17.5,0.0,9.0,22.0,0.0
2,automotive,"5,000,000+",4.3657813,24.0,11.5,0.0,6.0,22.0,4.0
3,automotive,"50,000+",3.768116,9.0,9.0,1.0,5.0,4.0,0.0
4,automotive,"10,000,000+",4.5556927,24.0,37.0,0.0,6.0,4.0,0.0
5,automotive,"500,000+",4.5,24.0,20.5,0.0,2.0,16.0,0.0
6,automotive,"10,000,000+",4.243612,24.0,12.0,0.0,16.0,17.0,0.0
7,automotive,"1,000,000+",4.117647,24.0,7.0,3.0,2.0,7.0,0.0
8,automotive,"1,000,000+",4.296943,24.0,33.0,0.0,1.0,21.0,0.0
9,automotive,"100,000+",4.0,24.0,8.0,0.0,0.0,24.0,0.0
10,automotive,"50,000+",4.35,24.0,4.0,0.0,2.0,0.0,0.0
11,automotive,"100,000+",4.0,24.0,15.0,1.0,6.0,13.0,0.0
12,automotive,"10,000,000+",4.0763006,24.0,7.0,0.0,24.0,0.0,0.0
13,automotive,"500,000+",4.25,10.0,198.5,0.0,2.0,9.0,0.0
14,automotive,"1,000,000+",4.576087,24.0,13.0,0.0,2.0,0.0,0.0
15,automotive,"50,000,000+",3.8798666,24.0,14.5,0.0,10.0,22.0,0.0
16,automotive,"10,000+",4.285714,24.0,16.0,0.0,7.0,23.0,0.0
17,automotive,"100,000+",3.1792452,24.0,31.0,0.0,24.0,0.0,0.0
18,automotive,"100,000+",3.990196,11.0,65.0,0.0,9.0,5.0,0.0
19,automotive,"100,000+",4.054945,24.0,30.5,0.0,13.0,16.0,0.0
20,automotive,"10,000,000+",4.5414343,24.0,31.0,0.0,5.0,15.0,0.0
21,automotive,"1,000,000+",3.85,24.0,12.0,0.0,0.0,24.0,0.0
22,automotive,"5,000+",0.0,9.0,123.0,0.0,3.0,3.0,0.0
23,automotive,"50,000,000+",4.431443,24.0,15.5,0.0,13.0,15.0,0.0
24,automotive,"1,000,000+",3.88,18.0,57.5,0.0,17.0,0.0,0.0
25,automotive,"10,000,000+",4.428837,2.0,53.5,0.0,0.0,2.0,0.0
26,automotive,"1,000,000+",3.44317,24.0,11.5,0.0,6.0,22.0,4.0
27,automotive,"5,000,000+",4.14,24.0,28.0,0.0,16.0,6.0,0.0
28,automotive,"500,000+",4.0120845,24.0,9.5,0.0,24.0,23.0,0.0
29,automotive,"100,000+",4.242424,24.0,27.0,0.0,6.0,21.0,0.0
